小美洲黑雁,Cackling Goose,Branta hutchinsii,中型（63-65厘米）短颈、粗嘴的雁;;⚑似加拿大雁，但一些个体和亚种（小图）具更突出的白色颈圈;;⚑大小和形状是最好的识别线索；注意其更圆的头、更短的脖子和更小的喙;;叫声似加拿大雁，但较为尖锐;
白颊黑雁,Barnacle Goose,Branta leucopsis,紧凑的中型（58-71厘米）雁;;脸白色，上体银色，颈部和胸部黑色，与白色的腹部有明显的界限;;在分布区内，筑巢于多石山坡，栖息于沼泽;;叫声为短促而尖锐的“kaw-kaw-kaw”声;
红胸黑雁,Red-breasted Goose,Branta ruficollis,小型（53-56厘米）结实的雁类;;喙短小，颈短;;注意锈色的胸部和独特的头部图案;;⚑覆羽黑色，有细密条纹，白色的侧翼在地面和飞行中都很明显;;⚑飞行时可见翼下为全黑;;在北极苔原、岛屿和沿海栖息地繁殖；冬季主要分布于黑海;;叫声为尖细而高的“kwii-kii”，似润滑不足的摩擦声，不像常见的雁类鸣叫;
夏威夷黑雁,Nene,Branta sandvicensis,独特的中型（63-69厘米）雁类;;⚑颈部羽毛具有特殊的皱纹外观;;见于湿地、草地、高尔夫球场、山地灌木地、公园，甚至植被稀疏的熔岩生境中;;叫声是典型的鹅一样的鸣叫;,夏威夷特有
白额雁,Greater White-fronted Goose,Anser albifrons,大型（70-85厘米）分布最广的雁属鸟;;比加拿大雁小，腿和喙亮橙色，脸和额头白色，腹部有黑色横斑;;⚑幼鸟（小图）额基白色环斑不明显，腹部缺少黑色横斑，腿和喙显暗橙色;;⚑似家鹅和灰雁，但较小，且无家禽腹部突出的外观;;繁殖于北极苔原，成大群越冬于农田和湿地;;叫声似豆雁;
灰雁,Greylag Goose,Anser anser,大型笨重（76-89厘米）的灰褐色雁;;整体棕灰色，硕大的喙粉橙色，脚粉红色;;⚑飞行时，翼上前缘显大面积灰白色，翼下覆羽显浅灰色，尾羽羽缘显白色宽带;;⚑与其他灰色雁类相比，翼下羽色更暗，喙色、喙状以及头、颈部的花纹不同;;栖于湖泊、沼泽和湿地;
粉脚雁,Pink-footed Goose,Anser brachyrhynchus,中型（60-75厘米）短颈雁;;头部和颈部形成对比，喙小而黑，嘴尖附近有粉红色带，腿呈粉红色;;⚑飞行时可见翼上具广泛的淡银色;;冬季主要栖息于有农田和沼泽草地的沿海低地;;叫声似白额雁，但略微小声而尖锐;
雪雁,Snow Goose,Anser caerulescens,具有两种不同色型的中型（66-84厘米）雁;;⚑白色型（下图）较常见；深色型成鸟（上图）呈深灰白色，脸色白；幼鸟则完全黑色;;成鸟具黑色的翼尖、粉红色的喙和腿，头部常染淡黄色;;⚑幼鸟（右下图）的喙和腿呈暗褐色，身体和翅上有不同程度的灰色污迹;;⚑与细嘴雁相比，其喙更长，喙基部呈明显弧线，具更明显的深色“咧嘴笑斑”;;鸣叫为高亢的“ga-ik”声或“gaga”声;
帝雁,Emperor Goose,Anser canagicus,矮胖（66-72厘米）的雁类;;⚑具引人注目的白头，黑色的喉和娇小的粉红色喙;;蓝灰色的身体，有着错综复杂的黑白条纹;;⚑尾为白色，腿橙色；脸颊有时呈橙棕色（小图）;;⚑幼鸟（右上图）头灰色，但仍显示白色尾;;在沼泽苔原上繁殖，在沿海水域小群越冬;;叫声为音调很高的“咔-哈”（kla-ha）声，以及音调较低的快速“嘎嘎嘎嘎”声;
鸿雁,Swan Goose,Anser cygnoides,大型（80-94厘米）颈长的雁;;⚑上粽下白的头部和颈部以及黑且长的喙与众不同;;⚑幼鸟嘴基无白色环纹;;⚑与小白额雁及白额雁区别在于喙为黑色，额及前颈白色较少;;相比野生鸿雁，驯化种羽色不一，并且大多拥有明显突出的喙上基瘤以及更矮壮的颈部和身体;;主要栖于有大片湿地、旷野和湖泊的内陆地区；迁徙和越冬时常集成大群，偶尔与其他水禽混群;
小白额雁,Lesser White-fronted Goose,Anser erythropus,小型（55-63厘米）雁类;;整体深棕色，额头白色，喙粉色;;⚑似白额雁，但体型略小，颈更短，喙更短、更粗，具明显的细黄色眼圈，且额头白色面积更大;;常单独或以小群与其他雁类混群，繁殖于有灌木的苔原，越冬于农田、盐沼和湿地附近的干燥区域;;叫声为较高的呀呀声，常在飞行中发出;
豆雁,Taiga Bean Goose,Anser fabalis,深灰褐色的大型（76-89厘米）雁类;;⚑喙上橙斑大小不一（小图），但通常覆盖喙的绝大部分；与典型的短嘴豆雁不同;;⚑相比粉脚雁和灰雁，飞行中无对比鲜明的淡色翼前缘;;⚑在野外难以明确地与短嘴豆雁区分，但豆雁的喙通常更长、更倾斜，而短嘴豆雁的喙则更短、更粗;;繁殖于北方针叶林，越冬于农田和湿地，常与其他雁类混群;;飞行时发出典型的“kang-kung”的雁叫声;
斑头雁,Bar-headed Goose,Anser indicus,中型（71-76厘米）雁;;独特显眼的雁类，原生于东亚和南亚，但偶尔能在其分布范围外见到逃逸个体;;喙和腿橘黄色;;⚑其头部和颈部的黑白色花纹将其区别于其他雁类;;⚑飞行时身体呈淡灰色；注意其宽阔的黑色飞羽后缘;
细嘴雁,Ross's Goose,Anser rossii,迷你版（53-66厘米）的雪雁;;⚑体型较雪雁明显更小，脖子更短，喙更粗;;⚑头部为干净的白色，而雪雁头部常染黄色;;⚑暗色型（小图）较少见;;常与雪雁混群，迁徙时见于田野、沼泽和湖泊中；在北极苔原上繁殖;
短嘴豆雁,Tundra Bean Goose,Anser serrirostris,深灰褐色的中型（66-80厘米）雁类;;喙上通常有小块橙斑，腿橙色;;⚑相比粉脚雁和灰雁，飞行中无对比鲜明的淡色翼前缘;;⚑在野外难以明确地与豆雁区分，但短嘴豆雁的喙通常更短、更粗，橙色次端斑较小；而豆雁的喙则更长、更倾斜;;繁殖于苔原，越冬于农田和湿地，常与其他雁类混群;;叫声为典型的“kang-kung”的雁叫声;
湍鸭,Torrent Duck,Merganetta armata,令人称奇的鸭类（41-43厘米）;;雌雄差异较大，但都有鲜红色的喙和带条纹的背部；雄鸭头部白色，带有黑色条纹，而雌鸭头部灰色，下体呈明亮的锈色;;⚑雄鸭的体羽图案因地域而异，从整体黑色（右上图）到带有白色（下图）或锈色条纹;;栖息于安第斯山脉水流湍急的河流与溪流之中，通常以单只或成对的形式出现，停歇在湍急水流中的岩石上，不与其他鸭类混群;;通过潜入翻腾的水流和水潭觅食，而且能够毫不费力地逆水游动;
环颈鸭,Ringed Teal,Callonetta leucophrys,小型（35-38厘米）而独特的鸭子;;雄鸟有蓝色的喙，粉红色的胸部，上面有黑色斑点，翅呈丰富的栗色，且飞羽上有一块金属绿色斑;;雌鸟有显眼的棕白色脸部花纹，上体大多为棕色，下体有斑驳或条纹状的棕色;;⚑飞行时，注意深色的翅，带有白色和绿色的条带;;常出现在植被茂盛的沼泽和湿地中，有时甚至可以看到它们栖息在篱笆或低矮的树上;
疣鼻栖鸭,Muscovy Duck,Cairina moschata,大而重（66-86厘米）的鸭子;;整体呈深黑色，带有虹彩绿色和青铜色，尤其是在翅上;;⚑飞行中可见醒目的白色翅斑和脸上的红色疣（雄鸟更明显）;;最常见于广阔的湿地或大河沿岸飞行;;⚑饲养的家禽（右下图）羽毛从全白到全黑不等，通常面部有比野鸟更广泛的红色疣;
鸳鸯,Mandarin Duck,Aix galericulata,显眼的中型（41-51厘米）鸭类;;雄鸟非常艳丽，背部有大块橙色的“帆状羽”，脸颊显橙色条纹，红色且娇小的喙有白色尖端;;雌鸟有蓬松的灰色头部、较细的白色眼圈、布满淡色斑点的两肋以及淡色的喙尖;;通常较为安静，鸣声为较高的“weee-weee”声;
林鸳鸯,Wood Duck,Aix sponsa,中型（47-54厘米）鸭类;;雄鸟在鸭科中相当独特;;⚑雌鸟似鸳鸯雌鸟，但后者通常头部较灰，眼斑较不明显;;鸣叫是响亮、刺耳的哨声;
绿翅雁,Orinoco Goose,Neochen jubata,61-76厘米;
白草雁,Kelp Goose,Chloephaga hybrida,55-65厘米;
黑翅草雁,Andean Goose,Chloephaga melanoptera,矮胖的黑白相间的雁类（70-76厘米）;;⚑注意其小巧的粉红色喙和粉红色腿部；雌雄外形相似，但雄雁体型更大;;见于安第斯山脉的沼泽和湖岸；通常成对或小群活动，在未受猎杀的区域可能会与人亲近;;与该属其他物种一样，雄雁发出高亢、带喘息声的哨音，而雌雁则发出呼噜声和嘶叫声;
斑胁草雁,Upland Goose,Chloephaga picta,大型（60-72.5厘米）雁类;;⚑雄鸟颈部显著为白色；部分雄鸟（右下图）胸部和腹部洁白无瑕，另一些身体上则有深色条纹;;⚑雌鸟整体呈褐色，头和颈部为锈褐色至灰褐色，远没有雄鸟那么引人注目;;⚑两性翅上均有醒目的黑白图案，飞行时十分显眼;
灰头草雁,Ashy-headed Goose,Chloephaga poliocephala,50-60厘米;
棕头草雁,Ruddy-headed Goose,Chloephaga rubidiceps,45-52.5厘米;
白腹麻鸭,Radjah Shelduck,Radjah radjah,48.5-61厘米;
埃及雁,Egyptian Goose,Alopochen aegyptiaca,引人注目的雁类（63-73厘米）;;⚑注意被黑色斑块包围的淡色眼，粉红色的腿，以及整体灰棕黄色的羽毛;;⚑在飞行中，寻找翼前缘的明亮白色;;通常成对或成群出现;
留尼汪雁,Reunion Sheldgoose,Alopochen kervazoi,留尼汪岛的一种灭绝鸟类;;⚑仅有少量简要报告和一些亚化石留存;;⚑目前仅知道留尼汪雁与埃及雁相似，大小也相近;;⚑大约灭绝于17世纪末；由于过度狩猎而灭绝;,留尼汪特有
毛里求斯雁,Mauritius Sheldgoose,Alopochen mauritiana,毛里求斯的一种已灭绝的雁，是埃及雁的近亲;;⚑外表不明，但其双翼有类似麻鸭的颜色斑纹;;⚑根据一或两件腕掌骨的亚化石及一些描述，得知毛里求斯雁约有黑雁的大小;;⚑可能于17世纪末灭绝；原因由于狩猎，也可能是外来掠食者的影响;,毛里求斯特有
灰头麻鸭,South African Shelduck,Tadorna cana,呈锈色的鸭（61-64厘米）;;雄鸟具灰色的颈和头部；雌鸟相似但有白色的脸;;喜干旱地区的河口、河流和蓄水区;;发出一种洪亮的叫声，但埃及雁的叫声更高更刺耳;
冠麻鸭,Crested Shelduck,Tadorna cristata,大型（63-71厘米）鸭类;;雄鸟从眼周到头顶和后颈为带绿色光泽的黑色，具冠羽，胸和尾羽黑绿色;;雌鸟眼周和眼后方为白色，身上的波状斑比雄鸟更明显，胸不黑;;⚑1971年以来全球范围再未见过;;迄今为止全世界仅保存有三个标本，其中一个雌鸟标本保存在丹麦哥本哈根动物博物馆；另外两个为一雌一雄，保存在日本山阶鸟类研究所;,韩国特有
赤麻鸭,Ruddy Shelduck,Tadorna ferruginea,大型（58-71厘米）橙栗色鸭类;;整体羽色为亮赤色，头部和颈部显淡奶油色;;雄鸟有较窄的黑色颈圈;;雌鸟头部颜色更淡，无黑色颈圈;;⚑大面积的白色翼上覆羽在飞行中尤其醒目;;越冬时喜农田、荒地、湖沼、河边等生境；杂食性，取食青草、谷物和鱼虾、蝗虫;;边飞边间断地发出“aa-aa”声;
翘鼻麻鸭,Common Shelduck,Tadorna tadorna,独特的大型（58-67厘米）鸭类;;⚑醒目的羽色从远处看仅显黑白，近距离观测时，头部显暗绿光泽，且宽阔的胸部横带显深锈色;;雄鸟红色的喙上具瘤状突起，具栗色胸带，腹部中央具黑色纵带;;雌鸟没有瘤状突起，栗色胸带更窄;;⚑幼鸟（右下图）羽色整体较淡，脸和眼圈发白;;喜海水，栖于沿海湿地、滩涂和草场，姿态酷似雁类;;叫声为带鼻音的“wo-e”或“gu-e”声，持续、快速、重复;
棕胸麻鸭,Australian Shelduck,Tadorna tadornoides,大型（55-72厘米）鸭类;;呈锈棕色与黑色，翅有大片白色;;雌鸟眼和喙周为白色，而雄鸟头部全黑;;常见于沿海沼泽地及周边牧场，也会以小群体形式出现在较干旱地区的小型农场水坝附近；通常分布于澳大利亚南部（东部和西部），但偶尔在更北部也有记录;,澳大利亚近特有
黑胸麻鸭,Paradise Shelduck,Tadorna variegata,大型（63-71厘米）色彩艳丽的鸭子;;雄鸟头部黑色，带有轻微的绿色光泽;;雌鸟头部和上颈部白色;;⚑飞行时翅上有大块的白色斑;;⚑似棕胸麻鸭，但缺少白色颈环，且具栗色或浅黄色胸和黑色的尾下;;常成对或在繁殖季后形成大群，喜河流、湿地、湖泊，以及开放的草地和农田;;叫声很大；雄鸟会发出响亮的警告声，雌鸟叫声音调更高;,新西兰特有
长尾鸭,Long-tailed Duck,Clangula hyemalis,独特的中型（37-60厘米）鸭类;;喙短、额高、头圆的潜水鸭;;⚑显眼的雄鸟尾羽长且尖，由黑、白、灰及褐色组成的羽色随季节而大变;;⚑雌鸟和未成年雄鸟（右上图）整体褐色，脸部白色，两颊有深色斑块;;繁殖于北极苔原中的湖泊，越冬时偏爱咸水；常潜水捕食无脊椎动物;;叫声为通常鸭类的“嘎嘎”声，但音调较高，较为尖细;
小绒鸭,Steller's Eider,Polysticta stelleri,独特的中型（42-48厘米）北极海鸭;;⚑比其他绒鸭小得多（且不同属），只比丑鸭略大;;雄鸟具明显的黑白图案，眼前染橄榄色，下体桃色;;雌鸟朴素，整体呈巧克力棕色，几乎没有斑纹；注意方头，翼镜上的粗白色条纹和白色下翼;;在沿海水域成对或成群越冬，潜入水下寻找贝类为食;;通常非常安静，繁殖期会发出短促的鸣叫，带有嘶哑的感觉;
拉布拉多鸭,Labrador Duck,Camptorhynchus labradorius,灭绝的北美特有鸟类（50厘米）;;⚑最后一笔记录为1878年纽约的Elmira;;现存55件标本分布于全球博物馆;,北美特有
白眶绒鸭,Spectacled Eider,Somateria fischeri,大型（50-53厘米）海鸭;;雌雄的脸部花纹看起来像带着白色护目镜;;雄鸟头部橄榄绿色，胸黑色，喙为胡萝卜橙色;;雌鸟整体为棕色，戴着淡色的护目镜;;⚑与同属其他种不同，喙基部到鼻孔附近覆有羽毛;;通常无声，雌鸟叫声似欧绒鸭，雄鸟在繁殖期会发出较弱的“ho-HOO”声;
欧绒鸭,Common Eider,Somateria mollissima,大型（50-71厘米）海鸭;;⚑雄鸟黑白色，颈背上有柔和的绿色；亚成雄鸟（右上图）多变且看起来凌乱，具黑白色斑;;⚑雌鸟从红褐色到冷灰色不等，具大量黑纹;;⚑不同亚种喙的形状和颜色略有不同，尤其是雄鸟；太平洋种群（右下图）有最亮的橙色喙，大多数其他种群的喙为绿色;;以软体动物为食；夏末可见成群的雌鸟和雏鸭;;雄鸟叫声为空洞的“ohOOOOOooo”，雌鸟叫声包括单声“grog”和快速的“kokokokok”;
王绒鸭,King Eider,Somateria spectabilis,奇特的大型（47-63厘米）海鸭;;⚑繁殖期雄鸟长相特别，很难会误认；在远处，寻找黑色的背部，上面具有竖起的“帆”，头颈粉蓝色，脸上有巨大的橙色斑;;⚑亚成雄鸟（右上图）可变，但通常整体呈深棕色或黑色，胸部颜色较浅，喙呈橙色;;雌鸟呈棕黄色，喙呈黑色，看起来像在微笑;;求偶时雄鸟会发出一系列上升的“wuwu wurururu”声，雌鸟发出“gogogo”声;
丑鸭,Harlequin Duck,Histrionicus histrionicus,中型（38-45厘米）具明显图纹的潜水鸭;;雄鸟不会被误认;;⚑雌鸟似潜鸭雌鸟，但体型更小;;在夏季，几乎总是成对出现在岩石溪流上；冬季成群地聚集在岩石海岸；以昆虫、鱼类和水生无脊椎动物为食；经常潜入水下;;繁殖期发出一种较高的“hig-hig”声，略似某些玩具的声音；平时发出典型鸭类的“嘎嘎声”;
黑海番鸭,Black Scoter,Melanitta americana,丰满（43-54厘米）的潜水鸭;;雄鸟完全黑色，喙上亮橙色;;雌鸟整体呈棕色，脸颊苍白与黑色的头顶对比鲜明;;⚑注意飞行时大腹便便的形状和圆头;;通常分布于沿海，偏爱沙质海岸，但在陆上迁徙，游泳更快速，时常翘起尾部，从水面起飞迅速，飞行贴近水面;;鸣叫似柔和的哨声，绵延较长;
