Struthio molybdophanes	Somali Ostrich
Geositta saxicolina	Dark-winged Miner
Geositta isabellina	Creamy-rumped Miner
Glyphorynchus spirurus	Wedge-billed Woodcreeper
Certhiasomus stictolaemus	Spot-throated Woodcreeper
Sittasomus griseicapillus	Olivaceous Woodcreeper
Deconychura typica	Piping Long-tailed Woodcreeper
Deconychura longicauda	Whistling Long-tailed Woodcreeper
Deconychura pallida	Mournful Long-tailed Woodcreeper
Dendrocincla tyrannina	Tyrannine Woodcreeper
Dendrocincla merula	White-chinned Woodcreeper
Dendrocincla homochroa	Ruddy Woodcreeper
Dendrocincla anabatina	Tawny-winged Woodcreeper
Dendrocincla fuliginosa	Plain-brown Woodcreeper
Dendrocincla turdina	Plain-winged Woodcreeper
Nasica longirostris	Long-billed Woodcreeper
Dendrexetastes rufigula	Cinnamon-throated Woodcreeper
Dendrocolaptes sanctithomae	Northern Barred Woodcreeper
Dendrocolaptes certhia	Amazonian Barred Woodcreeper
Dendrocolaptes picumnus	Black-banded Woodcreeper
Dendrocolaptes hoffmannsi	Hoffmanns's Woodcreeper
Dendrocolaptes platyrostris	Planalto Woodcreeper
Hylexetastes stresemanni	Bar-bellied Woodcreeper
Hylexetastes perrotii	Red-billed Woodcreeper
Hylexetastes uniformis	Uniform Woodcreeper
Xiphocolaptes promeropirhynchus	Strong-billed Woodcreeper
Xiphocolaptes falcirostris	Moustached Woodcreeper
Xiphocolaptes albicollis	White-throated Woodcreeper
Xiphocolaptes major	Great Rufous Woodcreeper
Xiphorhynchus obsoletus	Striped Woodcreeper
Xiphorhynchus atlanticus	Ceara Woodcreeper
Xiphorhynchus fuscus	Lesser Woodcreeper
Xiphorhynchus pardalotus	Chestnut-rumped Woodcreeper
Xiphorhynchus ocellatus	Ocellated Woodcreeper
Xiphorhynchus elegans	Elegant Woodcreeper
Xiphorhynchus spixii	Spix's Woodcreeper
Xiphorhynchus susurrans	Cocoa Woodcreeper
Xiphorhynchus guttatus	Buff-throated Woodcreeper
Xiphorhynchus flavigaster	Ivory-billed Woodcreeper
Xiphorhynchus lachrymosus	Black-striped Woodcreeper
Xiphorhynchus erythropygius	Spotted Woodcreeper
Xiphorhynchus triangularis	Olive-backed Woodcreeper
Dendroplex kienerii	Zimmer's Woodcreeper
Dendroplex picus	Straight-billed Woodcreeper
Campylorhamphus trochilirostris	Red-billed Scythebill
Campylorhamphus falcularius	Black-billed Scythebill
Campylorhamphus procurvoides	Curve-billed Scythebill
Campylorhamphus probatus	Tapajos Scythebill
Campylorhamphus multostriatus	Xingu Scythebill
Campylorhamphus pusillus	Brown-billed Scythebill
Drymornis bridgesii	Scimitar-billed Woodcreeper
Drymotoxeres pucheranii	Greater Scythebill
Lepidocolaptes souleyetii	Streak-headed Woodcreeper
Lepidocolaptes angustirostris	Narrow-billed Woodcreeper
Lepidocolaptes leucogaster	White-striped Woodcreeper
Lepidocolaptes affinis	Spot-crowned Woodcreeper
Lepidocolaptes lacrymiger	Montane Woodcreeper
Lepidocolaptes squamatus	Scaled Woodcreeper
Lepidocolaptes falcinellus	Scalloped Woodcreeper
Lepidocolaptes duidae	Duida Woodcreeper
Lepidocolaptes albolineatus	Guianan Woodcreeper
Lepidocolaptes fatimalimae	Inambari Woodcreeper
Lepidocolaptes fuscicapillus	Dusky-capped Woodcreeper
Xenops tenuirostris	Slender-billed Xenops
Xenops mexicanus	Northern Plain Xenops
Xenops genibarbis	Amazonian Plain Xenops
Xenops minutus	Atlantic Plain Xenops
Xenops rutilans	Streaked Xenops
Berlepschia rikeri	Point-tailed Palmcreeper
Microxenops milleri	Rufous-tailed Xenops
Pygarrhichas albogularis	White-throated Treerunner
Ochetorhynchus andaecola	Rock Earthcreeper
Ochetorhynchus ruficaudus	Straight-billed Earthcreeper
Ochetorhynchus phoenicurus	Band-tailed Earthcreeper
Ochetorhynchus melanurus	Crag Chilia
Premnoplex tatei	White-throated Barbtail
Premnoplex brunnescens	Spotted Barbtail
Margarornis bellulus	Beautiful Treerunner
Margarornis rubiginosus	Ruddy Treerunner
Margarornis stellatus	Star-chested Treerunner
Margarornis squamiger	Pearled Treerunner
Cichlocolaptes mazarbarnetti	Cryptic Treehunter
Cichlocolaptes leucophrus	Pale-browed Treehunter
Heliobletus contaminatus	Sharp-billed Treehunter
Philydor novaesi	Alagoas Foliage-gleaner
Philydor atricapillus	Black-capped Foliage-gleaner
Philydor pyrrhodes	Cinnamon-rumped Foliage-gleaner
Anabazenops fuscus	White-collared Foliage-gleaner
Anabazenops dorsalis	Bamboo Foliage-gleaner
Neophilydor fuscipenne	Slaty-winged Foliage-gleaner
Neophilydor erythrocercum	Rufous-rumped Foliage-gleaner
Megaxenops parnaguae	Great Xenops
Anabacerthia variegaticeps	Scaly-throated Foliage-gleaner
Anabacerthia striaticollis	Montane Foliage-gleaner
Anabacerthia ruficaudata	Rufous-tailed Foliage-gleaner
Anabacerthia amaurotis	White-browed Foliage-gleaner
Anabacerthia lichtensteini	Ochre-breasted Foliage-gleaner
Syndactyla guttulata	Guttulate Foliage-gleaner
Syndactyla subalaris	Lineated Foliage-gleaner
Syndactyla rufosuperciliata	Buff-browed Foliage-gleaner
Syndactyla ruficollis	Rufous-necked Foliage-gleaner
Syndactyla dimidiata	Planalto Foliage-gleaner
Syndactyla roraimae	Tepui Foliage-gleaner
Syndactyla ucayalae	Peruvian Recurvebill
Syndactyla striata	Bolivian Recurvebill
Ancistrops strigilatus	Chestnut-winged Hookbill
Dendroma erythroptera	Chestnut-winged Foliage-gleaner
Dendroma rufa	Buff-fronted Foliage-gleaner
Clibanornis rectirostris	Henna-capped Foliage-gleaner
Clibanornis dendrocolaptoides	Canebrake Groundcreeper
Clibanornis erythrocephalus	Henna-hooded Foliage-gleaner
Clibanornis rubiginosus	Ruddy Foliage-gleaner
Clibanornis rufipectus	Santa Marta Foliage-gleaner
Thripadectes ignobilis	Uniform Treehunter
Thripadectes flammulatus	Flammulated Treehunter
Thripadectes scrutator	Peruvian Treehunter
Thripadectes holostictus	Striped Treehunter
Thripadectes virgaticeps	Streak-capped Treehunter
Thripadectes rufobrunneus	Streak-breasted Treehunter
Thripadectes melanorhynchus	Black-billed Treehunter
Automolus rufipileatus	Chestnut-crowned Foliage-gleaner
Automolus melanopezus	Brown-rumped Foliage-gleaner
Automolus cervinigularis	Fawn-throated Foliage-gleaner
Automolus exsertus	Chiriqui Foliage-gleaner
Automolus ochrolaemus	Ochre-throated Foliage-gleaner
Automolus virgatus	Western Woodhaunter
Automolus subulatus	Eastern Woodhaunter
Automolus infuscatus	Olive-backed Foliage-gleaner
Automolus paraensis	Para Foliage-gleaner
Automolus lammi	Pernambuco Foliage-gleaner
Automolus leucophthalmus	White-eyed Foliage-gleaner
Tarphonomus harterti	Bolivian Earthcreeper
Tarphonomus certhioides	Chaco Earthcreeper
Premnornis guttuliger	Rusty-winged Barbtail
Pseudocolaptes lawrencii	Buffy Tuftedcheek
Pseudocolaptes johnsoni	Pacific Tuftedcheek
Pseudocolaptes boissonneautii	Streaked Tuftedcheek
Lochmias nematura	Sharp-tailed Streamcreeper
Limnornis curvirostris	Curve-billed Reedhaunter
Phleocryptes melanops	Wren-like Rushbird
Furnarius figulus	Band-tailed Hornero
Furnarius cinnamomeus	Pacific Hornero
Furnarius longirostris	Caribbean Hornero
Furnarius leucopus	Pale-legged Hornero
Furnarius torridus	Bay Hornero
Furnarius minor	Lesser Hornero
Furnarius rufus	Rufous Hornero
Furnarius cristatus	Crested Hornero
Geocerthia serrana	Striated Earthcreeper
Upucerthia saturatior	Patagonian Forest Earthcreeper
Upucerthia dumetaria	Scale-throated Earthcreeper
Upucerthia albigula	White-throated Earthcreeper
Upucerthia validirostris	Buff-breasted Earthcreeper
Cinclodes pabsti	Long-tailed Cinclodes
Cinclodes fuscus	Buff-winged Cinclodes
Cinclodes antarcticus	Blackish Cinclodes
Cinclodes comechingonus	Cordoba Cinclodes
Cinclodes albidiventris	Chestnut-winged Cinclodes
Cinclodes olrogi	Olrog's Cinclodes
Cinclodes albiventris	Cream-winged Cinclodes
Cinclodes oustaleti	Grey-flanked Cinclodes
Cinclodes excelsior	Stout-billed Cinclodes
Cinclodes aricomae	Royal Cinclodes
Cinclodes palliatus	White-bellied Cinclodes
Cinclodes atacamensis	White-winged Cinclodes
Cinclodes patagonicus	Dark-bellied Cinclodes
Cinclodes taczanowskii	Peruvian Seaside Cinclodes
Cinclodes nigrofumosus	Chilean Seaside Cinclodes
Aphrastura masafuerae	Masafuera Rayadito
Aphrastura spinicauda	Thorn-tailed Rayadito
Sylviorthorhynchus desmurii	Des Murs's Wiretail
Sylviorthorhynchus yanacensis	Tawny Tit-Spinetail
Leptasthenura fuliginiceps	Brown-capped Tit-Spinetail
Leptasthenura platensis	Tufted Tit-Spinetail
Leptasthenura aegithaloides	Plain-mantled Tit-Spinetail
Leptasthenura striolata	Striolated Tit-Spinetail
Leptasthenura pileata	Rusty-crowned Tit-Spinetail
Leptasthenura xenothorax	White-browed Tit-Spinetail
Leptasthenura striata	Streak-backed Tit-Spinetail
Leptasthenura andicola	Andean Tit-Spinetail
Leptasthenura setaria	Araucaria Tit-Spinetail
Anumbius annumbi	Firewood-gatherer
Coryphistera alaudina	Lark-like Brushrunner
Phacellodomus inornatus	Plain Thornbird
Phacellodomus rufifrons	Rufous-fronted Thornbird
Phacellodomus striaticeps	Streak-fronted Thornbird
Phacellodomus sibilatrix	Little Thornbird
Phacellodomus dorsalis	Chestnut-backed Thornbird
Phacellodomus maculipectus	Spot-breasted Thornbird
Phacellodomus striaticollis	Freckle-breasted Thornbird
Phacellodomus ruber	Greater Thornbird
Phacellodomus erythrophthalmus	Orange-eyed Thornbird
Phacellodomus ferrugineigula	Orange-breasted Thornbird
Hellmayrea gularis	White-browed Spinetail
Asthenes dorbignyi	Rusty-vented Canastero
Asthenes arequipae	Dark-winged Canastero
Asthenes huancavelicae	Pale-tailed Canastero
Asthenes berlepschi	Berlepsch's Canastero
Asthenes baeri	Short-billed Canastero
Asthenes luizae	Cipo Canastero
Asthenes hudsoni	Hudson's Canastero
Asthenes anthoides	Austral Canastero
Asthenes urubambensis	Line-fronted Canastero
Asthenes flammulata	Many-striped Canastero
Asthenes virgata	Junin Canastero
Asthenes maculicauda	Scribble-tailed Canastero
Asthenes wyatti	Streak-backed Canastero
Asthenes humilis	Streak-throated Canastero
Asthenes modesta	Cordilleran Canastero
Asthenes moreirae	Itatiaia Spinetail
Asthenes pyrrholeuca	Sharp-billed Canastero
Asthenes harterti	Black-throated Thistletail
Asthenes helleri	Puna Thistletail
Asthenes ayacuchensis	Ayacucho Thistletail
Asthenes vilcabambae	Vilcabamba Thistletail
Asthenes pudibunda	Canyon Canastero
Asthenes ottonis	Rusty-fronted Canastero
Asthenes heterura	Maquis Canastero
Asthenes palpebralis	Eye-ringed Thistletail
Asthenes coryi	Ochre-browed Thistletail
Asthenes perijana	Perija Thistletail
Asthenes fuliginosa	White-chinned Thistletail
Asthenes griseomurina	Mouse-colored Thistletail
Spartonoica maluroides	Bay-capped Wren-Spinetail
Pseudoseisura cristata	Caatinga Cacholote
Pseudoseisura unirufa	Grey-crested Cacholote
Pseudoseisura lophotes	Brown Cacholote
Pseudoseisura gutturalis	White-throated Cacholote
Acrobatornis fonsecai	Pink-legged Graveteiro
Metopothrix aurantiaca	Orange-fronted Plushcrown
Xenerpestes singularis	Equatorial Greytail
Xenerpestes minlosi	Double-banded Greytail
Siptornis striaticollis	Spectacled Prickletail
Roraimia adusta	Roraiman Barbtail
Thripophaga gutturata	Speckled Spinetail
Thripophaga macroura	Striated Softtail
Thripophaga cherriei	Orinoco Softtail
Thripophaga amacurensis	Delta Amacuro Softtail
Thripophaga fusciceps	Plain Softtail
Limnoctites rectirostris	Straight-billed Reedhaunter
Limnoctites sulphuriferus	Sulphur-bearded Reedhaunter
Cranioleuca berlepschi	Russet-mantled Softtail
Cranioleuca marcapatae	Marcapata Spinetail
Cranioleuca weskei	Vilcabamba Spinetail
Cranioleuca albiceps	Light-crowned Spinetail
Cranioleuca vulpina	Rusty-backed Spinetail
Cranioleuca dissita	Coiba Spinetail
Cranioleuca vulpecula	Parker's Spinetail
Cranioleuca subcristata	Crested Spinetail
Cranioleuca pyrrhophia	Stripe-crowned Spinetail
Cranioleuca henricae	Bolivian Spinetail
Cranioleuca obsoleta	Olive Spinetail
Cranioleuca pallida	Pallid Spinetail
Cranioleuca semicinerea	Grey-headed Spinetail
Cranioleuca albicapilla	Creamy-crested Spinetail
Cranioleuca erythrops	Red-faced Spinetail
Cranioleuca demissa	Tepui Spinetail
Cranioleuca hellmayri	Streak-capped Spinetail
Cranioleuca curtata	Ash-browed Spinetail
Cranioleuca antisiensis	Line-cheeked Spinetail
Cranioleuca muelleri	Scaled Spinetail
Pseudasthenes humicola	Dusky-tailed Canastero
Pseudasthenes patagonica	Patagonian Canastero
Pseudasthenes steinbachi	Steinbach's Canastero
Pseudasthenes cactorum	Cactus Canastero
Mazaria propinqua	White-bellied Spinetail
Schoeniophylax phryganophilus	Chotoy Spinetail
Certhiaxis mustelinus	Red-and-white Spinetail
Certhiaxis cinnamomeus	Yellow-chinned Spinetail
Synallaxis scutata	Ochre-cheeked Spinetail
Synallaxis cinerascens	Grey-bellied Spinetail
Synallaxis gujanensis	Plain-crowned Spinetail
Synallaxis albilora	White-lored Spinetail
Synallaxis simoni	Araguaia Spinetail
Synallaxis maranonica	Maranon Spinetail
Synallaxis hypochondriaca	Great Spinetail
Synallaxis stictothorax	Necklaced Spinetail
Synallaxis chinchipensis	Chinchipe Spinetail
Synallaxis zimmeri	Russet-bellied Spinetail
Synallaxis brachyura	Slaty Spinetail
Synallaxis subpudica	Silvery-throated Spinetail
Synallaxis hellmayri	Red-shouldered Spinetail
Synallaxis ruficapilla	Rufous-capped Spinetail
Synallaxis cinerea	Bahia Spinetail
Synallaxis infuscata	Pinto's Spinetail
Synallaxis moesta	Dusky Spinetail
Synallaxis macconnelli	McConnell's Spinetail
Synallaxis cabanisi	Cabanis's Spinetail
Synallaxis hypospodia	Cinereous-breasted Spinetail
Synallaxis spixi	Spix's Spinetail
Synallaxis albigularis	Dark-breasted Spinetail
Synallaxis beverlyae	Rio Orinoco Spinetail
Synallaxis albescens	Pale-breasted Spinetail
Synallaxis frontalis	Sooty-fronted Spinetail
Synallaxis azarae	Azara's Spinetail
Synallaxis courseni	Apurimac Spinetail
Synallaxis kollari	Hoary-throated Spinetail
Synallaxis erythrothorax	Rufous-breasted Spinetail
Synallaxis candei	White-whiskered Spinetail
Synallaxis tithys	Blackish-headed Spinetail
Synallaxis fuscorufa	Rusty-headed Spinetail
Synallaxis unirufa	Rufous Spinetail
Synallaxis castanea	Black-throated Spinetail
Synallaxis cinnamomea	Stripe-breasted Spinetail
Synallaxis rutilans	Ruddy Spinetail
Synallaxis cherriei	Chestnut-throated Spinetail
Menura alberti	Albert's Lyrebird
Menura novaehollandiae	Superb Lyrebird
Atrichornis clamosus	Noisy Scrubbird
Atrichornis rufescens	Rufous Scrubbird
Cormobates placens	Papuan Treecreeper
Cormobates leucophaea	White-throated Treecreeper
Climacteris affinis	White-browed Treecreeper
Climacteris erythrops	Red-browed Treecreeper
Climacteris picumnus	Brown Treecreeper
Climacteris melanurus	Black-tailed Treecreeper
Climacteris rufus	Rufous Treecreeper
Sericulus aureus	Masked Bowerbird
Sericulus ardens	Flame Bowerbird
Sericulus bakeri	Fire-maned Bowerbird
Sericulus chrysocephalus	Regent Bowerbird
Ptilonorhynchus violaceus	Satin Bowerbird
Chlamydera guttata	Western Bowerbird
Chlamydera maculata	Spotted Bowerbird
Chlamydera nuchalis	Great Bowerbird
Chlamydera lauterbachi	Yellow-breasted Bowerbird
Chlamydera cerviniventris	Fawn-breasted Bowerbird
Ailuroedus buccoides	White-eared Catbird
Ailuroedus stonii	Ochre-breasted Catbird
Ailuroedus geislerorum	Tan-capped Catbird
Ailuroedus maculosus	Spotted Catbird
Ailuroedus melanotis	Black-eared Catbird
Ailuroedus crassirostris	Green Catbird
Scenopoeetes dentirostris	Tooth-billed Bowerbird
Prionodura newtoniana	Golden Bowerbird
Amblyornis inornata	Vogelkop Bowerbird
Amblyornis macgregoriae	MacGregor's Bowerbird
Amblyornis subalaris	Streaked Bowerbird
Amblyornis flavifrons	Golden-fronted Bowerbird
Archboldia papuensis	Archbold's Bowerbird
Amytornis barbatus	Grey Grasswren
Amytornis whitei	Pilbara Grasswren
Amytornis oweni	Sandhill Grasswren
Amytornis rowleyi	Opalton Grasswren
Amytornis striatus	Striated Grasswren
Amytornis woodwardi	White-throated Grasswren
Amytornis dorotheae	Carpentarian Grasswren
Amytornis merrotsyi	Short-tailed Grasswren
Amytornis textilis	Western Grasswren
Amytornis modestus	Thick-billed Grasswren
Amytornis housei	Black Grasswren
Amytornis goyderi	Eyrean Grasswren
Amytornis purnelli	Dusky Grasswren
Amytornis ballarae	Kalkadoon Grasswren
Stipiturus malachurus	Southern Emu-wren
Stipiturus ruficeps	Rufous-crowned Emu-wren
Stipiturus mallee	Mallee Emu-wren
Sipodotus wallacii	Wallace's Fairywren
Clytomyias insignis	Orange-crowned Fairywren
Chenorhamphus grayi	Broad-billed Fairywren
Chenorhamphus campbelli	Campbell's Fairywren
Malurus cyanocephalus	Emperor Fairywren
Malurus coronatus	Purple-crowned Fairywren
Malurus elegans	Red-winged Fairywren
Malurus pulcherrimus	Blue-breasted Fairywren
Malurus assimilis	Purple-backed Fairywren
Malurus lamberti	Variegated Fairywren
Malurus amabilis	Lovely Fairywren
Malurus splendens	Splendid Fairywren
Malurus cyaneus	Superb Fairywren
Malurus leucopterus	White-winged Fairywren
Malurus melanocephalus	Red-backed Fairywren
Malurus alboscapulatus	White-shouldered Fairywren
Dasyornis longirostris	Western Bristlebird
Dasyornis brachypterus	Eastern Bristlebird
Dasyornis broadbenti	Rufous Bristlebird
Pardalotus punctatus	Spotted Pardalote
Pardalotus quadragintus	Forty-spotted Pardalote
Pardalotus rubricatus	Red-browed Pardalote
Pardalotus striatus	Striated Pardalote
Oreoscopus gutturalis	Fernwren
Pachycare flavogriseum	Goldenface
Gerygone chrysogaster	Yellow-bellied Gerygone
Gerygone mouki	Brown Gerygone
Gerygone chloronota	Green-backed Gerygone
Gerygone palpebrosa	Fairy Gerygone
Gerygone magnirostris	Large-billed Gerygone
Gerygone hypoxantha	Biak Gerygone
Gerygone inornata	Plain Gerygone
Gerygone dorsalis	Rufous-sided Gerygone
Gerygone olivacea	White-throated Gerygone
Gerygone sulphurea	Golden-bellied Gerygone
Gerygone tenebrosa	Dusky Gerygone
Gerygone flavolateralis	Fan-tailed Gerygone
Gerygone citrina	Rennell Gerygone
Gerygone levigaster	Mangrove Gerygone
Gerygone fusca	Western Gerygone
Gerygone ruficollis	Brown-breasted Gerygone
Gerygone insularis	Lord Howe Gerygone
Gerygone modesta	Norfolk Gerygone
Gerygone igata	Grey Gerygone
Gerygone albofrontata	Chatham Islands Gerygone
Acanthornis magna	Scrubtit
Aphelocephala leucopsis	Southern Whiteface
Aphelocephala nigricincta	Banded Whiteface
Aphelocephala pectoralis	Chestnut-breasted Whiteface
Acanthiza chrysorrhoa	Yellow-rumped Thornbill
Acanthiza cinerea	Grey Thornbill
Acanthiza murina	New Guinea Thornbill
Acanthiza nana	Yellow Thornbill
Acanthiza lineata	Striated Thornbill
Acanthiza apicalis	Inland Thornbill
Acanthiza ewingii	Tasmanian Thornbill
Acanthiza katherina	Mountain Thornbill
Acanthiza pusilla	Brown Thornbill
Acanthiza robustirostris	Slaty-backed Thornbill
Acanthiza iredalei	Slender-billed Thornbill
Acanthiza uropygialis	Chestnut-rumped Thornbill
Acanthiza inornata	Western Thornbill
Acanthiza reguloides	Buff-rumped Thornbill
Smicrornis brevirostris	Weebill
Pycnoptilus floccosus	Pilotbird
Pyrrholaemus sagittatus	Speckled Warbler
Pyrrholaemus brunneus	Redthroat
Hylacola pyrrhopygia	Chestnut-rumped Heathwren
Hylacola cauta	Shy Heathwren
Calamanthus fuliginosus	Striated Fieldwren
Calamanthus campestris	Rufous Fieldwren
Calamanthus montanellus	Western Fieldwren
Origma robusta	Mountain Mouse-warbler
Origma murina	Rusty Mouse-warbler
Origma solitaria	Rockwarbler
Neosericornis citreogularis	Yellow-throated Scrubwren
Aethomyias spilodera	Pale-billed Scrubwren
Aethomyias nigrorufus	Bicolored Scrubwren
Aethomyias rufescens	Vogelkop Scrubwren
Aethomyias perspicillatus	Buff-faced Scrubwren
Aethomyias arfakianus	Grey-green Scrubwren
Aethomyias papuensis	Papuan Scrubwren
Sericornis humilis	Tasmanian Scrubwren
Sericornis frontalis	White-browed Scrubwren
Sericornis maculatus	Spotted Scrubwren
Sericornis keri	Atherton Scrubwren
Sericornis beccarii	Tropical Scrubwren
Sericornis magnirostra	Large-billed Scrubwren
Sericornis nouhuysi	Large Scrubwren
Myza celebensis	Dark-eared Myza
Myza sarasinorum	White-eared Myza
Acanthorhynchus superciliosus	Western Spinebill
Acanthorhynchus tenuirostris	Eastern Spinebill
Glycichaera fallax	Green-backed Honeyeater
Melionyx fuscus	Sooty Honeyeater
Melionyx nouhuysi	Short-bearded Honeyeater
Melionyx princeps	Long-bearded Honeyeater
